Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Stetson Square,Village Green,844-857-6892,"3010 Eden Ave, Cincinnati, OH 45219",False,2005,205,https://www.apartments.com/stetson-square-cincinnati-oh/4mnr3mj/
Poste,Milhaus,513-253-0979,"739 E McMillan St, Cincinnati, OH 45206",False,2020,124,https://www.apartments.com/poste-cincinnati-oh/58x7sqn/
Windsor Flats,"Core Redevelopment, LLC",844-595-6454,"937 Windsor St, Cincinnati, OH 45206",False,2017,41,https://www.apartments.com/windsor-flats-cincinnati-oh/brvf3qb/
Encore,North American Properties,513-275-7145,"716 Sycamore St, Cincinnati, OH 45202",False,2017,133,https://www.apartments.com/encore-cincinnati-oh/8eyptg0/
Sycamore Place,North American Properties,513-904-6073,"634 Sycamore St, Cincinnati, OH 45202",False,2002,105,https://www.apartments.com/sycamore-place-cincinnati-oh/vtnrm0d/
AT580,Denizen Management,513-878-1843,"580 Walnut, Cincinnati, OH 45202",True,2016,179,https://www.apartments.com/at580-cincinnati-oh/66ljk3r/
City Club Apartments CBD Cincinnati,"City Club Apartments, LLC",844-776-3364,"309 Vine St, Cincinnati, OH 45202",False,1928,294,https://www.apartments.com/city-club-apartments-cbd-cincinnati-cincinnati-oh/5q8jhfp/
Madison Place,Village Green,513-337-9699,"50 W Rivercenter Blvd, Covington, KY 41011",False,2019,187,https://www.apartments.com/madison-place-covington-ky/b6rfnj8/
RiverHaus,Flaherty & Collins Properties,513-401-8932,"515 Main St, Covington, KY 41011",False,2019,192,https://www.apartments.com/riverhaus-covington-ky/tkkl0f9/
The Drexel at Oakley Apartments,Lincoln Property Company,513-898-1550,"3827 Paxton Ave, Cincinnati, OH 45209",True,2001,201,https://www.apartments.com/the-drexel-at-oakley-apartments-cincinnati-oh/bb1nt99/
Tower Valley Flats,"DMG Rentals, Inc.",844-617-0403,"5107-5137 Colerain Ave, Cincinnati, OH 45223",False,1963,132,https://www.apartments.com/tower-valley-flats-cincinnati-oh/verg7lg/
The Boulevard at Oakley Station,Flaherty & Collins Properties,513-448-0898,"3225 Oakley Station Blvd, Cincinnati, OH 45209",True,2013,302,https://www.apartments.com/the-boulevard-at-oakley-station-cincinnati-oh/0terfx1/
Studio One Tower,R Communities,513-718-1215,"2515 Burnet Ave, Cincinnati, OH 45219",False,1968,110,https://www.apartments.com/studio-one-tower-cincinnati-oh/np5bhzn/
The Deacon,Trinitas Ventures,844-300-2622,"424 Straight St, Cincinnati, OH 45219",True,2019,351,https://www.apartments.com/the-deacon-cincinnati-oh/z73mxcz/
One41 Wellington,"Uptown Rental Properties, LLC",513-206-8535,"141 Wellington Pl, Cincinnati, OH 45219",True,2018,258,https://www.apartments.com/one41-wellington-cincinnati-oh/bxp0dlc/
The Whitfield,Gaslight Property,513-342-2180,"3240-3250 Whitfield Ave, Cincinnati, OH 45220",False,2015,117,https://www.apartments.com/the-whitfield-cincinnati-oh/txjxylb/
Bellevue House Apartments,J Schrimpf Company,877-453-1841,"2312 Ohio Ave, Cincinnati, OH 45219",False,1967,160,https://www.apartments.com/bellevue-house-apartments-cincinnati-oh/qm3kzjw/
The Forum,CMC Properties,513-512-4589,"727 W Martin Luther King Dr, Cincinnati, OH 45220",False,1966,409,https://www.apartments.com/the-forum-cincinnati-oh/054cfz3/
The Baldwin,Casto,614-669-5147,"655 Eden Park Dr, Cincinnati, OH 45202",True,2016,190,https://www.apartments.com/the-baldwin-cincinnati-oh/kb4vde9/
500 Lafayette at Mount Storm Park,Gaslight Property,513-699-4198,"500 Lafayette Ave, Cincinnati, OH 45220",False,1916,23,https://www.apartments.com/500-lafayette-at-mount-storm-park-cincinnati-oh/clqm3wd/
Alumni Lofts,"Core Redevelopment, LLC",317-204-4165,"1310 Sycamore St, Cincinnati, OH 45202",False,1908,142,https://www.apartments.com/alumni-lofts-cincinnati-oh/zzyrh4y/
The Lombardy,"Sundance Property Management, Inc",513-437-6189,"322 W 4th St, Cincinnati, OH 45202",True,1881,57,https://www.apartments.com/the-lombardy-cincinnati-oh/9jdkk67/
Fourth & Plum Apartments,"Uptown Rental Properties, LLC",513-370-2308,"231 W 4th St, Cincinnati, OH 45202",False,1923,193,https://www.apartments.com/fourth-plum-apartments-cincinnati-oh/pwj9dys/
One Lytle Place,"Barrett & Stokely, Inc.",888-490-3266,"621 E Mehring Way, Cincinnati, OH 45202",False,1980,267,https://www.apartments.com/one-lytle-place-cincinnati-oh/xwr282n/
VUE 180 on the Water,Village Green,859-878-1367,"300 Riverboat Row, Newport, KY 41071",True,2013,93,https://www.apartments.com/vue-180-on-the-water-newport-ky/0dcfgh2/
The Madison Apartments,BRG Realty Group,855-226-9011,"2341 Madison Rd, Cincinnati, OH 45208",False,1970,118,https://www.apartments.com/the-madison-apartments-cincinnati-oh/dcns0tk/
Northside Flats,R Communities,513-208-2120,"1932 Kentucky Ave, Cincinnati, OH 45223",False,1966,138,https://www.apartments.com/northside-flats-cincinnati-oh/xs065rq/
Dover Heights,Five West Group,844-205-3861,"3782 Westmont Dr, Cincinnati, OH 45205",False,2019,72,https://www.apartments.com/dover-heights-cincinnati-oh/dcrvl1j/
Duveneck Square,"Duveneck Square, LLC",859-308-1688,"710 Washington St, Covington, KY 41011",False,2018,110,https://www.apartments.com/duveneck-square-covington-ky/qj6z4wy/
